x	y	z	score	incomprehensibleMarkings	offensiveMarkings
men	McDonalds	cheap with a toy on the side	[1,2,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,5]	0	1
women	coffee	black, bitter and preferably fair trade	[1,2,2,3,3,3,3,3,4,4,4,4,4,5,5]	0	1
home	evenings	filled with loneliness and depressing memories	[1,1,1,1,1,1,2,2,2,3,3,4,4,4,4]	0	1
women	dendrites	ready to receive my transmission	[1,1,1,1,1,1,1,1,2,2,4,4,4,4,5,5,5,5,5,5]	1	0
boyfriends	adventure movies	a little rough with a happy ending	[1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5]	0	0
coffee	features	plastic	[1,1,1,1,1,1,1,1,1,2,2,3]	1	0
ex	rubber	wide	[1,1,1,1,2,2,3,3,3,3,3,4]	1	0
entendres	penetrations	doubled	[1,2,2,2,3,3,3,3,4,4,4,5,5,5]	1	0
men	pair	innocent	[1,1,1,1,1,1,1,1,1,1,1,1,2,2]	1	0
men	books	bound in leather	[1,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5]	0	0
coffee	slaves	free	[1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5]	0	0
people	space stations	made in Russia	[1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,5]	1	0
ships	polar bears	breaking the ice	[null]	0	0
big butts	Abraham Lincoln	I cannot lie	[1,2,2,3,3,3,3,3,3,3,4,4,5]	1	0
lover	soap	meant to be wet	[1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5]	0	0
mother	knife	blunt on the back side	[1,1,1,2,2,2,2,2,2,2,3,4,5]	1	0
Unix	churches	without d(a)emons	[1,1,1,1,2,2,2,2,2,3,3,3,3,4,5]	1	0
Japanese tourists	money	put away abroad	[2,2,3,3,3,3,4,4,5,5,5,5]	0	0
men	coffee	I fucking hate coffee	[1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,5,5]	0	0
men	bread	white and a little toasted	[1,2,2,2,2,3,3,3,4,4,4,5]	1	0
men	waves	beating	[1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4]	1	0
ex	gas stations	exploding	[1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4]	0	0
quests	girlfriends	fun, exciting and with the option to abort	[1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5]	0	0
men	planes 	with a big nose	[1,1,2,2,2,2,3,3,3,3,3,3,4,4]	1	0
tea	parks	covered in homeless piss	[1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,5]	0	0
women	coffee	detrimental to hippocampal neurogenesis, but conducive to short term memory and attentional control	[1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5]	0	0
lovers	documentaries	based on a true story	[1,1,2,2,2,2,2,3,3,3,3,3,4]	1	0
merchandise	role	limited	[1,1,1,1,1,2,2,2,2,2,2,3,3]	1	0
ex	truck drivers	fat and lazy	[1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,5]	0	0
flirting	sex	Beat around the bush	[null]	0	0
fruit	girls	right out of the refrigerator	[1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4]	0	0
women	Halloween Candy	a little weird, delicious and at least 50% off of whatever is normal	[1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,5,5]	0	0
women	sites	rural	[1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3]	1	0
men	face washes	informative about acne prevention	[1,1,1,2,2,2,2,3,3,4,4,4,4]	1	0
partners	tv	mutable by remote	[1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5]	0	0
sex	activities	illicit	[2,2,2,3,3,3,3,3,3,3,3,3,4,4,4]	0	0
men	strength	additional	[1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,4,5]	0	0
sex	slinkies	flexible	[1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4]	1	0
mother	seamen	all up my girlfriends ****	[1,1,1,1,1,2,2,2,2,2,2,2,5]	1	0
partners	brownies	without nuts	[1,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5]	1	0
people	hours	lonely	[1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,4,5]	0	0
sodomy	smoking	as a secret between me and daddy	[1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,5,5,5]	1	0
eggs	breakups	over easy	[1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5]	0	0
coffee	milk teeth	black	[1,1,1,1,2,2,2,2,3,3,4,4,4]	1	0
hair	clouds	fluffy and flying in the wind	[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4]	0	0
women	baptism	wet	[1,2,3,3,3,3,3,3,3,3,4,4,5,5]	0	1
ass	blunt	fat	[1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5]	0	0
coffee	women	without a penis	[1,1,2,2,3,3,3,3,4,4,4,4,4,4,4]	0	1
men	wind	hot	[1,2,2,2,2,2,2,2,2,2,3,4,4]	1	0
sex	gardens	bearing fruit	[1,1,2,2,2,2,3,3,3,3,3,3,3]	0	1
ale	men	dark and rich	[1,1,2,2,2,2,2,3,3,4,4,4,4,4,5]	1	0
women	men	I'm bisexual.	[1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5]	0	0
men	pizza	traditional	[1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,5]	0	0
holocaust	vin diesel movies	fast & furious	[1,1,2,2,3,3,3,3,3,4,4,4,5]	0	1
women	music stores	obsolete since the Internet	[1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,5,5]	0	0
coffee	tone	pale	[1,1,1,1,1,2,2,2,2,2,2,2,3]	1	0
sex	cookie jars	a blue monster on TV wants in	[1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,5]	1	0
Sex	Pasta	Hard and saucy	[1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,5,5]	0	0
men	opponents	stubborn	[1,1,1,1,1,2,2,2,2,2,2,3,3,3,4]	0	1
partner	proposal	in Paris	[1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,5]	0	0
money problems	unicorns	non-existent	[1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5]	0	0
president	coffee	physically unable to tweet.	[1,1,1,1,1,2,2,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5]	0	0
women	wine	6 years old and locked in a cellar	[1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5]	0	0
women	cheese	not running	[1,1,1,1,2,2,2,2,3,3,3,3,4,4,5,5]	1	0
women	flowers	plastic	[1,2,2,2,3,3,3,4,4,4,4,4,4,4]	1	0
women	non-sequiturs	banana	[1,1,1,3,3,3,4,4,4,4,4,4,5]	1	0
men	remote	lightening when I push their buttons	[1,1,1,2,2,2,3,3,4,4,4,4,4]	0	1
nursing aids	hair ties	non-breakable	[1,1,1,1,1,1,1,2,2,2,2,2,2,3,3]	1	0
sex	rector election	dominated by Torfs	[1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5]	1	0
women	coasters	broken	[1,1,1,1,1,1,2,2,2,3,3,3,4]	1	0
women	pox	small	[1,1,2,2,2,3,3,3,3,3,4,5,5]	1	0
girls	information	available	[1,1,2,2,2,3,3,4,4]	0	0
something	something else	undefined	[1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,4,4,4,4,5,5,5,5,5]	0	0
men	cake	looks good, but absolutely terrible for me	[1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,5]	0	0
politicians	Jews	funny hair and taking it out on the Muslims	[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4]	0	0
women	square roots	if they're under 16, I do them in my head	[1,2,2,2,2,3,4,4,4,4,5,5,5,5,5,5,5]	0	1
women	coffee	free	[1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4]	0	0
women	piece	admired	[1,1,1,1,2,2,2,2,2,2,3,3]	1	0
life	descriptions	too long so it eventually becomes meaningless	[1,1,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4]	1	0
women	builders	experienced in operating heavy machinery	[1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,5,5]	0	0
men	appendix	inside me until it bursts	[1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5]	0	0
men	check books	the bank gives them away	[1,1,1,1,1,2,2,2,2,3,3,3,3]	1	0
compliments	jokes	I don't get them	[1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5]	0	0
coffee	women	complete with nutrition, value and convenience	[1,1,1,2,2,2,2,2,2,2,3,3,3,4,5]	1	0
women	girl	unselfish	[1,1,1,1,1,1,1,2,2,2,5,5,5]	1	0
zip zop	zoo-ba-doo	uttered by Bill Cosby	[1,1,2,2,2,2,2,2,3,3,3,3,5,5]	1	0
people	printers	in 3D unless they're Japanese	[1,2,2,2,3,3,4,4,4,4,4,4,5]	1	0
new year	Jews	countdown to zero	[1,1,1,2,2,2,2,3,4,4]	0	1
women	people	happiest	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,5]	0	0
men	dad	always there for me and nice	[1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,4,4,5]	0	0
partner	credit card	loaded	[1,2,3,3,3,3,4,4,4,4,4,4,4]	1	0
bologna	martinis	dirty	[1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3]	1	0
vases	one night stands	expendable	[1,1,2,2,2,2,2,3,3,3,3,4,5]	1	0
heart	suitcase	closed and locked	[1,1,1,1,2,2,2,2,3,3,3,3]	1	0
women	path	worn	[1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4]	1	0
people	portions	generous	[1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,5,5]	0	0
sex	police officers	with body cams	[1,1,2,2,3,3,3,4,4,4,4,5]	0	1
pigeons	airplanes	flying above someone else's house	[1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,5,5]	0	0
partners	array	limited	[1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,5,5]	1	0
chickens	eggs	suspended in a state of philosophical inquiry	[1,1,1,1,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5]	1	0
coffee	master	noted	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3]	1	0
lovers	soldiers	well-trained and slow to shoot	[3,3,4,4,4,4,5]	1	0
women	chocolate chip cookies	I don't like chocolate chip cookies	[1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,5,5]	0	0
airline food	baby jokes	tasteless	[1,1,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5]	0	0
colleagues	detail	considerable	[1,1,1,1,1,1,2,2,2,2,2,2,2]	1	0
liver	liquor	hard	[1,1,2,2,2,2,2,3,3,3,3,3,3]	1	0
women	file system	FAT and 16	[1,1,2,2,2,3,4,4,4,5,5,5,5]	1	0
coffee	alcohol	drunk	[1,1,1,1,1,1,1,1,1,1,2,3,3,4,4]	0	1
men	coffee	hot	[1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,5,5]	0	0
cat	other cat	I just really love cats!	[1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,5,5,5,5,5,5]	0	0
people	coffee	I don't like coffee	[1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,5,5,5]	0	0
women	questions	silly	[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,5]	0	0
men	urine	sterile	[1,1,2,2,3,3,3,4,4,5,5,5,5]	1	0
stamps	ladies	licked, stuck, and out of my life	[2,2,2,2,3,3,3,3,4,4,4,4,4]	0	1
women	system administrators	on call	[1,2,2,2,2,3,3,4,4,4,4,4,5]	1	0
partners	threads	green	[1,1,1,1,2,2,2,2,2,2,2,3,3]	1	0
partners	play-doh	soft and moldable	[1,2,3,3,3,3,3,3,4,4,5,5]	1	0
campfires	Democratic Socialists	burny	[1,1,2,2,3,3,4,4,4,4,4,5]	1	0
women	ambulances	coming very quickly and loudly	[2,3,4,4,4,4,5,5,5,5,5,5]	0	0
sex	condition	unprotected	[1,1,1,1,1,2,2,2,2,2,2,3,3,3,5]	0	1
women	patients	wearing a hospital gown	[1,1,1,2,2,2,3,3,3,3,4,4]	1	0
jokes	jokes	redundant	[1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5]	0	0
dog	gnomes	put away in the garden	[1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4]	0	0
ex	street lights	living on the side-walk	[1,2,2,2,2,3,4,4,4,4,4,4,4]	1	0
coffee	layers	dozen	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3]	1	0
cat	cat	I just really love cats	[1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,5,5,5]	0	0
values	incomes	high	[1,1,1,1,1,1,1,1,2,2,4,4,5,5]	1	0
mothers	socks	a new pair every Christmas	[1,1,1,1,2,2,2,3,3,3,3,4,4,4,5,5]	1	0
men	tofu	extra firm	[1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5]	0	0
coffee	spread	usual	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2]	0	0
dad	shaving cream	alcohol-free	[1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5]	0	0
sex life	novels	entirely fictional	[2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5]	1	0
boyfriends	sitcom shows	trite but lovable.	[1,1,2,2,2,3,3,3,4,4,4,5]	1	0
women	misrule	long	[1,1,1,1,2,2,2,2,2,2,4,5,5]	1	0
lovers	minds	dozen	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3]	1	0
US president	90's movies	clueless	[1,3,3,3,3,4,4,4,4,4,5,5,5,5]	1	0
coffee	women	no pubic hair	[1,1,2,2,3,3,3,3,3,4,4,5,5,5,5]	0	1
axons	women	with action potential	[3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5]	1	0
partners	diapers	dozen	[1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3]	1	0
sex	law	commercial	[1,1,1,1,1,1,2,2,2,2,2,2,3,4]	0	1
women	beer	not too yeasty	[1,2,2,3,3,3,3,4,4,4,5,5]	1	0
coffee	men	black	[1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,5,5]	0	0
phone	women	plus size and black	[1,1,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5]	1	0
men	coffee	thrown out of my car window at 75mph for being too weak	[1,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5]	0	0
women	coffee	filled with booze	[1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5]	0	0
brothers	eyes	I lost both of them in the war	[2,2,2,2,2,3,3,4,4,4,4,5,5]	0	1
faith	expenses	not going to some guy on a cloud who may or may not exist	[1,1,2,2,2,3,3,3,3,4,4,4,5]	1	0
animal shelters	mouth	filled with pussy	[2,3,3,3,3,3,4,5]	1	0
women	instance	magnificent	[1,1,1,1,1,1,2,2,2,2,3,4,5]	1	0
ice	dreams	crushed	[1,1,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5]	0	0
pizza	people	saucy and cheesy	[1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,5,5]	1	0
coffee	men	gay	[1,1,1,1,1,1,2,2,2,3,3,4,5]	1	0
men	books	included	[1,1,1,1,1,2,2,2,2,3,4,5]	1	0
sex daily	dexi lyas shit	dyl isxes ALLEE	[1,1,1,1,2,2,2,3,3,3,3]	1	0
women	computer	fast	[1,1,2,2,2,2,2,2,2,3,3,3,5]	1	0
women	bills	remaining	[1,1,2,2,2,2,2,2,2,3,3,3,4,5]	1	0
teeth	race	shiny white	[2,2,2,2,2,2,3,3,3,3,5,5]	0	0
women	coffee	corner of the street, and I'm not willing to pay more than €2.50	[1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5]	0	0
coffee	women	ground up and in the freezer	[1,1,1,1,2,2,3,3,3,4,4,4,4,4,4,4,4,4,5,5]	0	1
women	judges	getting me rock hard when they tell me my punishment	[1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,5,5,5]	0	0
women	coffee	hand picked by migrant workers	[1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,5,5,5]	0	0
reputation	STD's	earned	[1,1,1,2,2,2,3,3,3,4,4,4,4]	0	1
boobs	news	real	[1,2,2,2,2,3,3,3,5]	0	0
weapons	music	heavy and metal	[1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,5]	0	0
women	sight	curious	[1,1,1,1,1,1,1,1,1,2,2,3,4]	1	0
men	turkey	roast	[1,1,1,2,2,2,2,2,2,3,3,4,5]	1	0
salmon	Jews	smoked	[1,1,1,1,1,2,2,2,2,2,2,3,4,4,5,5]	0	1
body	paper	ripped	[1,1,2,2,2,3,3,3,3,3,4,4,4,4]	1	0
coffee	women	excessively hot, done in 3 minutes and in my lap when I least expect it	[2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5]	0	0
baristas	tailors	rapidly becoming irrelevant	[2,2,2,2,2,3,3,3,3,3,3,4,5]	1	0
nipples	money	out of reach of my girlfriends claws	[1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5]	0	0
sex	race	passionate	[1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4]	1	0
coffee	affair	nice	[1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,5]	0	0
men	London Underground	minding the gap	[1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,5]	1	0
coffee	Hillary Clinton	I don't like coffee	[1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5]	0	0
coffee	dates	black  with two big mellow-cakes	[1,1,2,2,2,3,3,3,3,3,4,4]	1	0
women	men	androgynous	[1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5]	0	0
martini	humour	dry	[2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5]	0	0
women	candles	when they are burnt out, you can just buy some new ones	[1,1,2,2,2,2,2,3,4,4,4,5,5]	0	1
